Date,Team1,Team2,Final Result 1,Final Result 2,Tournament,Link Stats
28th of April 2020,Thunder Logic,AA,0,2,eFire Master League North America Season 2,https://www.hltv.org//stats/matches/73666/thunder-logic-vs-aa
28th of April 2020,W7M,DETONA,2,0,CLUTCH Season 2,https://www.hltv.org//stats/matches/73665/w7m-vs-detona
27th of April 2020,Alma,Keyd,1,1,CLUTCH Season 2,https://www.hltv.org//stats/matches/73664/alma-vs-keyd
27th of April 2020,AA,ETHEREAL,2,1,eFire Master League North America Season 2,https://www.hltv.org//stats/matches/73663/aa-vs-ethereal
27th of April 2020,Keep the Comms Up,Thunder Logic,1,2,eFire Master League North America Season 2,https://www.hltv.org//stats/matches/73662/keep-the-comms-up-vs-thunder-logic
26th of April 2020,BOOM,Isurus,2,0,ESL One: Road to Rio - South America,https://www.hltv.org//stats/matches/73661/boom-vs-isurus
26th of April 2020,Movistar Riders,c0ntact,2,1,ESL One: Road to Rio - Europe,https://www.hltv.org//stats/matches/73660/movistar-riders-vs-c0ntact
26th of April 2020,G2,FaZe,0,2,ESL One: Road to Rio - Europe,https://www.hltv.org//stats/matches/73659/g2-vs-faze
26th of April 2020,Nexus,LF Org,2,1,Betano Masters,https://www.hltv.org//stats/matches/73658/nexus-vs-lf-org
26th of April 2020,North,mousesports,2,0,ESL One: Road to Rio - Europe,https://www.hltv.org//stats/matches/73657/north-vs-mousesports
26th of April 2020,Heretics,ENCE,2,0,ESL One: Road to Rio - Europe,https://www.hltv.org//stats/matches/73656/heretics-vs-ence
25th of April 2020,Liquid,MIBR,2,0,ESL One: Road to Rio - North America,https://www.hltv.org//stats/matches/73655/liquid-vs-mibr
25th of April 2020,Bad News Bears,FURIA,0,2,ESL One: Road to Rio - North America,https://www.hltv.org//stats/matches/73654/bad-news-bears-vs-furia
25th of April 2020,Envy,Yeah,2,0,ESL One: Road to Rio - North America,https://www.hltv.org//stats/matches/73653/envy-vs-yeah
25th of April 2020,Imperial,Isurus,1,2,ESL One: Road to Rio - South America,https://www.hltv.org//stats/matches/73652/imperial-vs-isurus
25th of April 2020,Complexity,Vitality,1,2,ESL One: Road to Rio - Europe,https://www.hltv.org//stats/matches/73651/complexity-vs-vitality
25th of April 2020,Astralis,fnatic,1,2,ESL One: Road to Rio - Europe,https://www.hltv.org//stats/matches/73650/astralis-vs-fnatic
24th of April 2020,Orgless,Cloud9,1,2,ESL One: Road to Rio - North America,https://www.hltv.org//stats/matches/73649/orgless-vs-cloud9
24th of April 2020,9z,DETONA Pound,2,0,ESL Brazil Premier League Season 12,https://www.hltv.org//stats/matches/73648/9z-vs-detona-pound
24th of April 2020,Evil Geniuses,100 Thieves,1,2,ESL One: Road to Rio - North America,https://www.hltv.org//stats/matches/73647/evil-geniuses-vs-100-thieves
24th of April 2020,Gen.G,Triumph,2,1,ESL One: Road to Rio - North America,https://www.hltv.org//stats/matches/73646/geng-vs-triumph
24th of April 2020,Isurus,BOOM,0,2,ESL One: Road to Rio - South America,https://www.hltv.org//stats/matches/73645/isurus-vs-boom
24th of April 2020,RED Canids,Imperial,0,2,ESL One: Road to Rio - South America,https://www.hltv.org//stats/matches/73644/red-canids-vs-imperial
24th of April 2020,Dignitas,NiP,0,2,ESL One: Road to Rio - Europe,https://www.hltv.org//stats/matches/73643/dignitas-vs-nip
24th of April 2020,Copenhagen Flames,c0ntact,2,1,ESL One: Road to Rio - Europe,https://www.hltv.org//stats/matches/73642/copenhagen-flames-vs-c0ntact
24th of April 2020,mousesports,Movistar Riders,0,2,ESL One: Road to Rio - Europe,https://www.hltv.org//stats/matches/73641/mousesports-vs-movistar-riders
24th of April 2020,Hard Legion,Nemiga,0,2,LOOT.BET Season 6,https://www.hltv.org//stats/matches/73640/hard-legion-vs-nemiga
23rd of April 2020,FURIA,Envy,2,1,ESL One: Road to Rio - North America,https://www.hltv.org//stats/matches/73639/furia-vs-envy
23rd of April 2020,Liquid,Bad News Bears,2,1,ESL One: Road to Rio - North America,https://www.hltv.org//stats/matches/73638/liquid-vs-bad-news-bears
23rd of April 2020,Yeah,MIBR,0,2,ESL One: Road to Rio - North America,https://www.hltv.org//stats/matches/73637/yeah-vs-mibr
23rd of April 2020,RED Canids,Isurus,1,2,ESL One: Road to Rio - South America,https://www.hltv.org//stats/matches/73636/red-canids-vs-isurus
23rd of April 2020,GODSENT,G2,0,2,ESL One: Road to Rio - Europe,https://www.hltv.org//stats/matches/73635/godsent-vs-g2
23rd of April 2020,BOOM,Imperial,2,0,ESL One: Road to Rio - South America,https://www.hltv.org//stats/matches/73634/boom-vs-imperial
23rd of April 2020,SKADE,Nordavind,1,2,LOOT.BET Season 6,https://www.hltv.org//stats/matches/73633/skade-vs-nordavind
23rd of April 2020,Dignitas,Heretics,1,2,ESL One: Road to Rio - Europe,https://www.hltv.org//stats/matches/73632/dignitas-vs-heretics
23rd of April 2020,FaZe,North,2,1,ESL One: Road to Rio - Europe,https://www.hltv.org//stats/matches/73631/faze-vs-north
23rd of April 2020,Espada,Endpoint,2,1,LOOT.BET Season 6,https://www.hltv.org//stats/matches/73630/espada-vs-endpoint
23rd of April 2020,Keyd,DETONA,1,1,CLUTCH Season 2,https://www.hltv.org//stats/matches/73629/keyd-vs-detona
23rd of April 2020,Soberano,Alma,1,1,CLUTCH Season 2,https://www.hltv.org//stats/matches/73628/soberano-vs-alma
22nd of April 2020,Triumph,Cloud9,2,1,ESL One: Road to Rio - North America,https://www.hltv.org//stats/matches/73627/triumph-vs-cloud9
22nd of April 2020,Gen.G,100 Thieves,2,0,ESL One: Road to Rio - North America,https://www.hltv.org//stats/matches/73626/geng-vs-100-thieves
22nd of April 2020,Evil Geniuses,Orgless,2,0,ESL One: Road to Rio - North America,https://www.hltv.org//stats/matches/73625/evil-geniuses-vs-orgless
22nd of April 2020,Vitality,NiP,1,2,ESL One: Road to Rio - Europe,https://www.hltv.org//stats/matches/73624/vitality-vs-nip
22nd of April 2020,BOOM,RED Canids,2,1,ESL One: Road to Rio - South America,https://www.hltv.org//stats/matches/73623/boom-vs-red-canids
22nd of April 2020,Isurus,Imperial,2,1,ESL One: Road to Rio - South America,https://www.hltv.org//stats/matches/73622/isurus-vs-imperial
22nd of April 2020,Complexity,Astralis,1,2,ESL One: Road to Rio - Europe,https://www.hltv.org//stats/matches/73621/complexity-vs-astralis
22nd of April 2020,ENCE,fnatic,2,0,ESL One: Road to Rio - Europe,https://www.hltv.org//stats/matches/73620/ence-vs-fnatic
22nd of April 2020,Illuminar,Endpoint,0,2,LOOT.BET Season 6,https://www.hltv.org//stats/matches/73619/illuminar-vs-endpoint
22nd of April 2020,pro100,Espada,0,2,LOOT.BET Season 6,https://www.hltv.org//stats/matches/73618/pro100-vs-espada
21st of April 2020,Secret,Hard Legion,2,1,LOOT.BET Season 6,https://www.hltv.org//stats/matches/73617/secret-vs-hard-legion
21st of April 2020,Nemiga,Japaleno,2,0,LOOT.BET Season 6,https://www.hltv.org//stats/matches/73616/nemiga-vs-japaleno
21st of April 2020,W7M,Isurus,1,1,CLUTCH Season 2,https://www.hltv.org//stats/matches/73615/w7m-vs-isurus
21st of April 2020,Envy,Bad News Bears,0,2,DreamHack Masters Spring 2020 - North America Closed Qualifier,https://www.hltv.org//stats/matches/73614/envy-vs-bad-news-bears
20th of April 2020,Bravos,RED Canids,1,1,CLUTCH Season 2,https://www.hltv.org//stats/matches/73613/bravos-vs-red-canids
20th of April 2020,Spirit,forZe,2,0,DreamHack Masters Spring 2020 - Europe Closed Qualifier,https://www.hltv.org//stats/matches/73612/spirit-vs-forze
20th of April 2020,Heretics,SKADE,2,1,LOOT.BET Season 6,https://www.hltv.org//stats/matches/73611/heretics-vs-skade
20th of April 2020,ZIGMA,Beyond,0,2,DreamHack Masters Spring 2020 - Asia Closed Qualifier,https://www.hltv.org//stats/matches/73610/zigma-vs-beyond
20th of April 2020,Chiefs,Rooster,2,1,DreamHack Masters Spring 2020 - Oceania Closed Qualifier,https://www.hltv.org//stats/matches/73609/chiefs-vs-rooster
20th of April 2020,Gambit Youngsters,Nordavind,2,0,LOOT.BET Season 6,https://www.hltv.org//stats/matches/73608/gambit-youngsters-vs-nordavind
20th of April 2020,Neverest,NOORG,1,2,Liga DELL #4 - APR/20,https://www.hltv.org//stats/matches/73607/neverest-vs-noorg
20th of April 2020,Bad News Bears,Swole Patrol,2,0,DreamHack Masters Spring 2020 - North America Closed Qualifier,https://www.hltv.org//stats/matches/73606/bad-news-bears-vs-swole-patrol
20th of April 2020,Cloud9,Envy,2,1,DreamHack Masters Spring 2020 - North America Closed Qualifier,https://www.hltv.org//stats/matches/73605/cloud9-vs-envy
20th of April 2020,Neverest,Asterius,2,1,Liga DELL #4 - APR/20,https://www.hltv.org//stats/matches/73604/neverest-vs-asterius
20th of April 2020,Swole Patrol,Triumph,2,0,DreamHack Masters Spring 2020 - North America Closed Qualifier,https://www.hltv.org//stats/matches/73603/swole-patrol-vs-triumph
20th of April 2020,Bad News Bears,Recon 5,2,0,DreamHack Masters Spring 2020 - North America Closed Qualifier,https://www.hltv.org//stats/matches/73602/bad-news-bears-vs-recon-5
19th of April 2020,forZe,OG,2,1,DreamHack Masters Spring 2020 - Europe Closed Qualifier,https://www.hltv.org//stats/matches/73601/forze-vs-og
19th of April 2020,MIBR,MAD Lions,1,2,Flashpoint 1,https://www.hltv.org//stats/matches/73600/mibr-vs-mad-lions
19th of April 2020,BIG,SMASH,2,0,Home Sweet Home Cup 2,https://www.hltv.org//stats/matches/73599/big-vs-smash
19th of April 2020,Unique,Ztayhome,0,2,Dell Gaming Cup 2,https://www.hltv.org//stats/matches/73598/unique-vs-ztayhome
19th of April 2020,AVEZ,OG,1,2,DreamHack Masters Spring 2020 - Europe Closed Qualifier,https://www.hltv.org//stats/matches/73597/avez-vs-og
19th of April 2020,Neverest,SWS,2,1,Liga DELL #4 - APR/20,https://www.hltv.org//stats/matches/73596/neverest-vs-sws
19th of April 2020,Spirit,GODSENT,1,2,DreamHack Masters Spring 2020 - Europe Closed Qualifier,https://www.hltv.org//stats/matches/73595/spirit-vs-godsent
19th of April 2020,Virtus.pro,forZe,1,2,DreamHack Masters Spring 2020 - Europe Closed Qualifier,https://www.hltv.org//stats/matches/73594/virtuspro-vs-forze
19th of April 2020,SMASH,Syman,2,0,Home Sweet Home Cup 2,https://www.hltv.org//stats/matches/73593/smash-vs-syman
19th of April 2020,JigadooD,Beyond,0,2,DreamHack Masters Spring 2020 - Asia Closed Qualifier,https://www.hltv.org//stats/matches/73592/jigadood-vs-beyond
19th of April 2020,Copenhagen Flames,BIG,0,2,Home Sweet Home Cup 2,https://www.hltv.org//stats/matches/73591/copenhagen-flames-vs-big
19th of April 2020,Ground Zero,Rooster,1,2,DreamHack Masters Spring 2020 - Oceania Closed Qualifier,https://www.hltv.org//stats/matches/73590/ground-zero-vs-rooster
19th of April 2020,Lucid Dream,ZIGMA,2,1,DreamHack Masters Spring 2020 - Asia Closed Qualifier,https://www.hltv.org//stats/matches/73589/lucid-dream-vs-zigma
19th of April 2020,AVANT,Chiefs,2,0,DreamHack Masters Spring 2020 - Oceania Closed Qualifier,https://www.hltv.org//stats/matches/73588/avant-vs-chiefs
19th of April 2020,Swole Patrol,Envy,1,2,DreamHack Masters Spring 2020 - North America Closed Qualifier,https://www.hltv.org//stats/matches/73587/swole-patrol-vs-envy
19th of April 2020,New England Whalers,Triumph,1,2,DreamHack Masters Spring 2020 - North America Closed Qualifier,https://www.hltv.org//stats/matches/73586/new-england-whalers-vs-triumph
19th of April 2020,Cloud9,Bad News Bears,2,0,DreamHack Masters Spring 2020 - North America Closed Qualifier,https://www.hltv.org//stats/matches/73585/cloud9-vs-bad-news-bears
19th of April 2020,Monstars,Recon 5,0,2,DreamHack Masters Spring 2020 - North America Closed Qualifier,https://www.hltv.org//stats/matches/73584/monstars-vs-recon-5
19th of April 2020,Bad News Bears,Triumph,2,1,DreamHack Masters Spring 2020 - North America Closed Qualifier,https://www.hltv.org//stats/matches/73583/bad-news-bears-vs-triumph
19th of April 2020,Envy,Recon 5,2,1,DreamHack Masters Spring 2020 - North America Closed Qualifier,https://www.hltv.org//stats/matches/73582/envy-vs-recon-5
19th of April 2020,Cloud9,New England Whalers,2,0,DreamHack Masters Spring 2020 - North America Closed Qualifier,https://www.hltv.org//stats/matches/73581/cloud9-vs-new-england-whalers
19th of April 2020,Swole Patrol,Monstars,2,0,DreamHack Masters Spring 2020 - North America Closed Qualifier,https://www.hltv.org//stats/matches/73580/swole-patrol-vs-monstars
18th of April 2020,forZe,GODSENT,1,2,DreamHack Masters Spring 2020 - Europe Closed Qualifier,https://www.hltv.org//stats/matches/73579/forze-vs-godsent
18th of April 2020,OG,Spirit,0,2,DreamHack Masters Spring 2020 - Europe Closed Qualifier,https://www.hltv.org//stats/matches/73578/og-vs-spirit
18th of April 2020,Syman,Endpoint,2,1,Home Sweet Home Cup 2,https://www.hltv.org//stats/matches/73577/syman-vs-endpoint
18th of April 2020,HAVU,MAD Lions,0,2,Flashpoint 1,https://www.hltv.org//stats/matches/73576/havu-vs-mad-lions
18th of April 2020,LDLC,AVEZ,0,2,DreamHack Masters Spring 2020 - Europe Closed Qualifier,https://www.hltv.org//stats/matches/73575/ldlc-vs-avez
18th of April 2020,FATE,Virtus.pro,0,2,DreamHack Masters Spring 2020 - Europe Closed Qualifier,https://www.hltv.org//stats/matches/73574/fate-vs-virtuspro
18th of April 2020,Virtus.pro,Spirit,1,2,DreamHack Masters Spring 2020 - Europe Closed Qualifier,https://www.hltv.org//stats/matches/73573/virtuspro-vs-spirit
18th of April 2020,GODSENT,AVEZ,2,1,DreamHack Masters Spring 2020 - Europe Closed Qualifier,https://www.hltv.org//stats/matches/73572/godsent-vs-avez
18th of April 2020,OG,FATE,2,0,DreamHack Masters Spring 2020 - Europe Closed Qualifier,https://www.hltv.org//stats/matches/73571/og-vs-fate
18th of April 2020,forZe,SMASH,2,0,Home Sweet Home Cup 2,https://www.hltv.org//stats/matches/73570/forze-vs-smash
18th of April 2020,Beyond,ZIGMA,0,2,DreamHack Masters Spring 2020 - Asia Closed Qualifier,https://www.hltv.org//stats/matches/73569/beyond-vs-zigma
18th of April 2020,Nordavind,BIG,0,2,Home Sweet Home Cup 2,https://www.hltv.org//stats/matches/73568/nordavind-vs-big
18th of April 2020,forZe,LDLC,2,0,DreamHack Masters Spring 2020 - Europe Closed Qualifier,https://www.hltv.org//stats/matches/73567/forze-vs-ldlc
18th of April 2020,Nordavind,BIG,0,2,Home Sweet Home Cup 2,https://www.hltv.org//stats/matches/73568/nordavind-vs-big
18th of April 2020,forZe,LDLC,2,0,DreamHack Masters Spring 2020 - Europe Closed Qualifier,https://www.hltv.org//stats/matches/73567/forze-vs-ldlc
18th of April 2020,Chiefs,Rooster,2,1,DreamHack Masters Spring 2020 - Oceania Closed Qualifier,https://www.hltv.org//stats/matches/73566/chiefs-vs-rooster
18th of April 2020,Spirit,Copenhagen Flames,1,2,Home Sweet Home Cup 2,https://www.hltv.org//stats/matches/73565/spirit-vs-copenhagen-flames
18th of April 2020,Lucid Dream,JigadooD,2,0,DreamHack Masters Spring 2020 - Asia Closed Qualifier,https://www.hltv.org//stats/matches/73564/lucid-dream-vs-jigadood
18th of April 2020,AVANT,Ground Zero,2,0,DreamHack Masters Spring 2020 - Oceania Closed Qualifier,https://www.hltv.org//stats/matches/73563/avant-vs-ground-zero
18th of April 2020,PDHM,Monstars,1,2,DreamHack Masters Spring 2020 - North America Open Qualifier,https://www.hltv.org//stats/matches/73562/pdhm-vs-monstars
18th of April 2020,Asterius,NOORG,12,16,Liga DELL #4 - APR/20,https://www.hltv.org//stats/matches/mapstatsid/101566/noorg-vs-asterius
18th of April 2020,Recon 5,"blood, sweat, and tears",2,0,DreamHack Masters Spring 2020 - North America Open Qualifier,https://www.hltv.org//stats/matches/73560/recon-5-vs-blood-sweat-and-tears
18th of April 2020,Triumph,ETHEREAL,2,0,DreamHack Masters Spring 2020 - North America Open Qualifier,https://www.hltv.org//stats/matches/73559/triumph-vs-ethereal
18th of April 2020,New England Whalers,Orion,2,0,DreamHack Masters Spring 2020 - North America Open Qualifier,https://www.hltv.org//stats/matches/73558/new-england-whalers-vs-orion
17th of April 2020,Copenhagen Flames,SKADE,2,0,Home Sweet Home Cup 2,https://www.hltv.org//stats/matches/73557/copenhagen-flames-vs-skade
17th of April 2020,Gambit Youngsters,SKADE,1,2,Home Sweet Home Cup 2,https://www.hltv.org//stats/matches/73556/gambit-youngsters-vs-skade
17th of April 2020,paiN,Imperial,0,2,ESL One: Road to Rio - South America Play-in,https://www.hltv.org//stats/matches/73555/pain-vs-imperial
17th of April 2020,Dignitas,LDLC,0,2,DreamHack Masters Spring 2020 - Europe Open Qualifier,https://www.hltv.org//stats/matches/73554/dignitas-vs-ldlc
17th of April 2020,Espada,FATE,0,2,DreamHack Masters Spring 2020 - Europe Open Qualifier,https://www.hltv.org//stats/matches/73553/espada-vs-fate
17th of April 2020,sAw,AVEZ,0,2,DreamHack Masters Spring 2020 - Europe Open Qualifier,https://www.hltv.org//stats/matches/73552/saw-vs-avez
17th of April 2020,Spirit,AGF,2,0,DreamHack Masters Spring 2020 - Europe Open Qualifier,https://www.hltv.org//stats/matches/73551/spirit-vs-agf
17th of April 2020,Beyond,JiJieHao,2,0,ESL One: Road to Rio - Asia Play-in,https://www.hltv.org//stats/matches/73550/beyond-vs-jijiehao
17th of April 2020,Copenhagen Flames,Endpoint,0,2,Home Sweet Home Cup 2,https://www.hltv.org//stats/matches/73549/copenhagen-flames-vs-endpoint
17th of April 2020,Heartless,Ground Zero,1,2,DreamHack Masters Spring 2020 - Oceania Open Qualifier,https://www.hltv.org//stats/matches/73548/heartless-vs-ground-zero
17th of April 2020,ZIGMA,TIGER,2,0,DreamHack Masters Spring 2020 - Asia Open Qualifier,https://www.hltv.org//stats/matches/73547/zigma-vs-tiger
17th of April 2020,Rooster,i sleep,2,0,DreamHack Masters Spring 2020 - Oceania Open Qualifier,https://www.hltv.org//stats/matches/73546/rooster-vs-i-sleep
17th of April 2020,JigadooD,w2c,2,0,DreamHack Masters Spring 2020 - Asia Open Qualifier,https://www.hltv.org//stats/matches/73545/jigadood-vs-w2c
17th of April 2020,SKADE,Endpoint,5,16,Home Sweet Home Cup 2,https://www.hltv.org//stats/matches/mapstatsid/101534/skade-vs-endpoint
17th of April 2020,Gambit Youngsters,Copenhagen Flames,6,16,Home Sweet Home Cup 2,https://www.hltv.org//stats/matches/mapstatsid/101528/copenhagen-flames-vs-gambit-youngsters
17th of April 2020,Beyond,D13,2,1,ESL One: Road to Rio - Asia Play-in,https://www.hltv.org//stats/matches/73542/beyond-vs-d13
17th of April 2020,AVEZ,Movistar Riders,16,13,DreamHack Masters Spring 2020 - Europe Open Qualifier,https://www.hltv.org//stats/matches/mapstatsid/101524/avez-vs-movistar-riders
17th of April 2020,Heretics,AGF,14,16,DreamHack Masters Spring 2020 - Europe Open Qualifier,https://www.hltv.org//stats/matches/mapstatsid/101523/agf-vs-heretics
17th of April 2020,LDLC,TRVPREMESLO,16,2,DreamHack Masters Spring 2020 - Europe Open Qualifier,https://www.hltv.org//stats/matches/mapstatsid/101521/ldlc-vs-trvpremeslo
16th of April 2020,FATE,Wisla Krakow,16,14,DreamHack Masters Spring 2020 - Europe Open Qualifier,https://www.hltv.org//stats/matches/mapstatsid/101520/wisla-krakow-vs-fate
17th of April 2020,100pinggods,Spirit,1,16,DreamHack Masters Spring 2020 - Europe Open Qualifier,https://www.hltv.org//stats/matches/mapstatsid/101517/spirit-vs-100pinggods
16th of April 2020,Illuminar,Espada,9,16,DreamHack Masters Spring 2020 - Europe Open Qualifier,https://www.hltv.org//stats/matches/mapstatsid/101518/espada-vs-illuminar
16th of April 2020,Dignitas,Syman,16,8,DreamHack Masters Spring 2020 - Europe Open Qualifier,https://www.hltv.org//stats/matches/mapstatsid/101522/syman-vs-dignitas
16th of April 2020,BIG,AGO,2,1,Home Sweet Home Cup 2,https://www.hltv.org//stats/matches/73534/big-vs-ago
16th of April 2020,sAw,trepunktnoll,16,10,DreamHack Masters Spring 2020 - Europe Open Qualifier,https://www.hltv.org//stats/matches/mapstatsid/101516/trepunktnoll-vs-saw
16th of April 2020,pro100,1WIN,2,1,ESL One: Road to Rio - CIS Play-in,https://www.hltv.org//stats/matches/73532/pro100-vs-1win
16th of April 2020,AGO,Singularity,2,0,Home Sweet Home Cup 2,https://www.hltv.org//stats/matches/73531/ago-vs-singularity
16th of April 2020,JiJieHao,D13,1,2,ESL One: Road to Rio - Asia Play-in,https://www.hltv.org//stats/matches/73530/jijiehao-vs-d13
16th of April 2020,SMASH,BIG,2,1,Home Sweet Home Cup 2,https://www.hltv.org//stats/matches/73529/smash-vs-big
16th of April 2020,Espada,SMASH,1,0,LOOT.BET Season 6,
16th of April 2020,Nemiga,1WIN,2,1,ESL One: Road to Rio - CIS Play-in,https://www.hltv.org//stats/matches/73527/nemiga-vs-1win
16th of April 2020,BIG,Singularity,16,9,Home Sweet Home Cup 2,https://www.hltv.org//stats/matches/mapstatsid/101500/big-vs-singularity
16th of April 2020,Winstrike,SKADE,2,0,LOOT.BET Season 6,https://www.hltv.org//stats/matches/73525/winstrike-vs-skade
16th of April 2020,AGO,SMASH,14,16,Home Sweet Home Cup 2,https://www.hltv.org//stats/matches/mapstatsid/101496/smash-vs-ago
16th of April 2020,Rooster,VERTEX,1,0,LPL Pro League Season 4,
16th of April 2020,Soberano,Keyd,0,2,CLUTCH Season 2,https://www.hltv.org//stats/matches/73522/soberano-vs-keyd
15th of April 2020,RED Canids,W7M,1,1,CLUTCH Season 2,https://www.hltv.org//stats/matches/73521/red-canids-vs-w7m
15th of April 2020,forZe,Sprout,2,0,Home Sweet Home Cup 2,https://www.hltv.org//stats/matches/73520/forze-vs-sprout
15th of April 2020,Ambush,FATE,1,2,ESEA MDL Season 33 Europe Relegation,https://www.hltv.org//stats/matches/73519/ambush-vs-fate
15th of April 2020,Endpoint,Apeks,2,1,ESEA MDL Season 33 Europe Relegation,https://www.hltv.org//stats/matches/73518/endpoint-vs-apeks
15th of April 2020,Sprout,Japaleno,2,0,Home Sweet Home Cup 2,https://www.hltv.org//stats/matches/73517/sprout-vs-japaleno
15th of April 2020,forZe,Nordavind,1,2,Home Sweet Home Cup 2,https://www.hltv.org//stats/matches/73516/forze-vs-nordavind
15th of April 2020,Secret,Illuminar,2,0,LOOT.BET Season 6,https://www.hltv.org//stats/matches/73515/secret-vs-illuminar
15th of April 2020,ZIGMA,Invictus,2,3,Play From Home,https://www.hltv.org//stats/matches/73514/zigma-vs-invictus
15th of April 2020,Japaleno,Nordavind,6,16,Home Sweet Home Cup 2,https://www.hltv.org//stats/matches/mapstatsid/101470/japaleno-vs-nordavind
15th of April 2020,Gambit Youngsters,Endpoint,2,0,LOOT.BET Season 6,https://www.hltv.org//stats/matches/73512/gambit-youngsters-vs-endpoint
15th of April 2020,Sprout,forZe,11,16,Home Sweet Home Cup 2,https://www.hltv.org//stats/matches/mapstatsid/101467/sprout-vs-forze
15th of April 2020,Invictus,BTRG,2,0,Play From Home,https://www.hltv.org//stats/matches/73510/invictus-vs-btrg
14th of April 2020,Salamander,Apeks,1,2,ESEA MDL Season 33 Europe Relegation,https://www.hltv.org//stats/matches/73509/salamander-vs-apeks
14th of April 2020,MAD Lions,MIBR,1,2,Flashpoint 1,https://www.hltv.org//stats/matches/73508/mad-lions-vs-mibr
14th of April 2020,FATE,Prima,2,0,ESEA MDL Season 33 Europe Relegation,https://www.hltv.org//stats/matches/73507/fate-vs-prima
14th of April 2020,Syman,Spirit,0,2,Home Sweet Home Cup 2,https://www.hltv.org//stats/matches/73506/syman-vs-spirit
14th of April 2020,Ambush,SKADE,1,2,ESEA MDL Season 33 Europe Relegation,https://www.hltv.org//stats/matches/73505/ambush-vs-skade
14th of April 2020,Endpoint,Wisla Krakow,1,2,ESEA MDL Season 33 Europe Relegation,https://www.hltv.org//stats/matches/73504/endpoint-vs-wisla-krakow
14th of April 2020,HAVU,Cloud9,2,0,Flashpoint 1,https://www.hltv.org//stats/matches/73503/havu-vs-cloud9
14th of April 2020,Reason,Apeks,0,2,ESEA MDL Season 33 Europe Relegation,https://www.hltv.org//stats/matches/73502/reason-vs-apeks
14th of April 2020,Unique,Salamander,0,2,ESEA MDL Season 33 Europe Relegation,https://www.hltv.org//stats/matches/73501/unique-vs-salamander
14th of April 2020,Prima,Turkey5,2,0,ESEA MDL Season 33 Europe Relegation,https://www.hltv.org//stats/matches/73500/prima-vs-turkey5
14th of April 2020,Vexed,FATE,0,2,ESEA MDL Season 33 Europe Relegation,https://www.hltv.org//stats/matches/73499/vexed-vs-fate
14th of April 2020,Nordavind,Japaleno,2,1,LOOT.BET Season 6,https://www.hltv.org//stats/matches/73498/nordavind-vs-japaleno
14th of April 2020,Movistar Riders,Spirit,0,2,Home Sweet Home Cup 2,https://www.hltv.org//stats/matches/73497/movistar-riders-vs-spirit
14th of April 2020,Syman,Virtus.pro,0,2,Home Sweet Home Cup 2,https://www.hltv.org//stats/matches/73496/syman-vs-virtuspro
14th of April 2020,Nemiga,Hard Legion,1,2,LOOT.BET Season 6,https://www.hltv.org//stats/matches/73495/nemiga-vs-hard-legion
14th of April 2020,Virtus.pro,Spirit,16,13,Home Sweet Home Cup 2,https://www.hltv.org//stats/matches/mapstatsid/101418/spirit-vs-virtuspro
14th of April 2020,Movistar Riders,Syman,9,16,Home Sweet Home Cup 2,https://www.hltv.org//stats/matches/mapstatsid/101414/syman-vs-movistar-riders
14th of April 2020,Invictus,ZIGMA,0,2,Play From Home,https://www.hltv.org//stats/matches/73492/invictus-vs-zigma
14th of April 2020,Alma,Bravos,1,1,CLUTCH Season 2,https://www.hltv.org//stats/matches/73491/alma-vs-bravos
13th of April 2020,Orgless,Cloud9,1,2,Flashpoint 1,https://www.hltv.org//stats/matches/73490/orgless-vs-cloud9
13th of April 2020,Salamander,SKADE,1,2,ESEA MDL Season 33 Europe Relegation,https://www.hltv.org//stats/matches/73489/salamander-vs-skade
13th of April 2020,Isurus,DETONA,1,1,CLUTCH Season 2,https://www.hltv.org//stats/matches/73488/isurus-vs-detona
13th of April 2020,ttc,FATE,0,2,ESEA MDL Season 33 Europe Relegation,https://www.hltv.org//stats/matches/73487/ttc-vs-fate
13th of April 2020,Apeks,TheDice,2,1,ESEA MDL Season 33 Europe Relegation,https://www.hltv.org//stats/matches/73486/apeks-vs-thedice
13th of April 2020,Reason,Ambush,0,2,ESEA MDL Season 33 Europe Relegation,https://www.hltv.org//stats/matches/73485/reason-vs-ambush
13th of April 2020,Prima,Wisla Krakow,1,2,ESEA MDL Season 33 Europe Relegation,https://www.hltv.org//stats/matches/73484/prima-vs-wisla-krakow
13th of April 2020,Endpoint,Vexed,2,1,ESEA MDL Season 33 Europe Relegation,https://www.hltv.org//stats/matches/73483/endpoint-vs-vexed
13th of April 2020,OFFSET,Unique,0,2,ESEA MDL Season 33 Europe Relegation,https://www.hltv.org//stats/matches/73482/offset-vs-unique
13th of April 2020,Gen.G,HAVU,1,2,Flashpoint 1,https://www.hltv.org//stats/matches/73481/geng-vs-havu
13th of April 2020,SKADE,FATE,2,1,ESEA MDL Season 33 Europe Relegation,https://www.hltv.org//stats/matches/73480/skade-vs-fate
13th of April 2020,Ambush,Turkey5,2,1,ESEA MDL Season 33 Europe Relegation,https://www.hltv.org//stats/matches/73478/ambush-vs-turkey5
13th of April 2020,Salamander,ttc,2,1,ESEA MDL Season 33 Europe Relegation,https://www.hltv.org//stats/matches/73477/salamander-vs-ttc
13th of April 2020,Vexed,Unique,2,0,ESEA MDL Season 33 Europe Relegation,https://www.hltv.org//stats/matches/73476/vexed-vs-unique
