Date,Team1,Team2,Final Result 1,Final Result 2,Tournament,Link Stats
13th of February 2020,Illuminar,Copenhagen Flames,0,2,Europe Minor Open Qualifier 4 - ESL One Rio 2020,https://www.hltv.org//stats/matches/72230/illuminar-vs-copenhagen-flames
13th of February 2020,Singularity,SMASH,11,16,Europe Minor Open Qualifier 4 - ESL One Rio 2020,https://www.hltv.org//stats/matches/mapstatsid/98619/singularity-vs-smash
13th of February 2020,Sinners,Complexity,7,16,Europe Minor Open Qualifier 4 - ESL One Rio 2020,https://www.hltv.org//stats/matches/mapstatsid/98618/sinners-vs-complexity
13th of February 2020,Singularity,Nordavind,13,16,ESEA MDL Season 33 Europe,https://www.hltv.org//stats/matches/mapstatsid/98616/singularity-vs-nordavind
13th of February 2020,Movistar Riders,Nemiga,16,8,ESEA MDL Season 33 Europe,https://www.hltv.org//stats/matches/mapstatsid/98617/movistar-riders-vs-nemiga
13th of February 2020,pro100,Gambit Youngsters,1,2,WESG 2019 Russia Closed Qualifier,https://www.hltv.org//stats/matches/72225/pro100-vs-gambit-youngsters
13th of February 2020,HAVU,Copenhagen Flames,13,16,Europe Minor Open Qualifier 4 - ESL One Rio 2020,https://www.hltv.org//stats/matches/mapstatsid/98613/copenhagen-flames-vs-havu
13th of February 2020,Illuminar,SKADE,16,3,Europe Minor Open Qualifier 4 - ESL One Rio 2020,https://www.hltv.org//stats/matches/mapstatsid/98612/illuminar-vs-skade
13th of February 2020,Gambit Youngsters,Unique,2,0,WESG 2019 Russia Closed Qualifier,https://www.hltv.org//stats/matches/72222/gambit-youngsters-vs-unique
13th of February 2020,Incept,FURY,16,6,ESEA MDL Season 33 Australia,https://www.hltv.org//stats/matches/mapstatsid/98607/incept-vs-fury
13th of February 2020,Chiefs,Ground Zero,16,5,ESEA MDL Season 33 Australia,https://www.hltv.org//stats/matches/mapstatsid/98606/ground-zero-vs-chiefs
13th of February 2020,TRIDENT,MC,22,18,ESEA MDL Season 33 Australia,https://www.hltv.org//stats/matches/mapstatsid/98603/trident-vs-mc
13th of February 2020,Ground Zero,Airborne,16,1,ESEA MDL Season 33 Australia,https://www.hltv.org//stats/matches/mapstatsid/98602/ground-zero-vs-airborne
13th of February 2020,Chiefs,Paradox,16,5,ESEA MDL Season 33 Australia,https://www.hltv.org//stats/matches/mapstatsid/98601/paradox-vs-chiefs
13th of February 2020,ORDER,Formidable,16,2,ESEA MDL Season 33 Australia,https://www.hltv.org//stats/matches/mapstatsid/98600/formidable-vs-order
13th of February 2020,Orgless,Faint,16,5,Americas Minor North America Open Qualifier 4 - ESL One Rio 2020,https://www.hltv.org//stats/matches/mapstatsid/98599/orgless-vs-faint
13th of February 2020,Recon 5,Polar Ace,16,11,Americas Minor North America Open Qualifier 4 - ESL One Rio 2020,https://www.hltv.org//stats/matches/mapstatsid/98598/recon-5-vs-polar-ace
13th of February 2020,Big Frames,Asuna's Anime Aimers,16,10,Americas Minor North America Open Qualifier 4 - ESL One Rio 2020,https://www.hltv.org//stats/matches/mapstatsid/98597/asunas-anime-aimers-vs-big-frames
13th of February 2020,Brazen,Yeah,0,1,Americas Minor North America Open Qualifier 4 - ESL One Rio 2020,
13th of February 2020,Chaos,Station7,16,0,ESEA MDL Season 33 North America,https://www.hltv.org//stats/matches/mapstatsid/98596/station7-vs-chaos
13th of February 2020,Faint,Polar Ace South,16,7,Americas Minor North America Open Qualifier 4 - ESL One Rio 2020,https://www.hltv.org//stats/matches/mapstatsid/98595/faint-vs-polar-ace-south
13th of February 2020,Yeah,Russian Street Party,16,4,Americas Minor North America Open Qualifier 4 - ESL One Rio 2020,https://www.hltv.org//stats/matches/mapstatsid/98594/yeah-vs-russian-street-party
13th of February 2020,Infinity,Brazen,14,16,Americas Minor North America Open Qualifier 4 - ESL One Rio 2020,https://www.hltv.org//stats/matches/mapstatsid/98593/infinity-vs-brazen
13th of February 2020,ETHEREAL,Polar Ace,6,16,Americas Minor North America Open Qualifier 4 - ESL One Rio 2020,https://www.hltv.org//stats/matches/mapstatsid/98592/ethereal-vs-polar-ace
13th of February 2020,New England Whalers,Orgless,13,16,Americas Minor North America Open Qualifier 4 - ESL One Rio 2020,https://www.hltv.org//stats/matches/mapstatsid/98591/new-england-whalers-vs-orgless
13th of February 2020,Isurus,Alma,2,0,CLUTCH Season 2,https://www.hltv.org//stats/matches/72205/isurus-vs-alma
13th of February 2020,Asuna's Anime Aimers,Rap Gang,16,13,Americas Minor North America Open Qualifier 4 - ESL One Rio 2020,https://www.hltv.org//stats/matches/mapstatsid/98589/rap-gang-vs-asunas-anime-aimers
13th of February 2020,Big Frames,GameAgents,16,6,Americas Minor North America Open Qualifier 4 - ESL One Rio 2020,https://www.hltv.org//stats/matches/mapstatsid/98588/big-frames-vs-gameagents
13th of February 2020,Recon 5,Oceanus,16,8,Americas Minor North America Open Qualifier 4 - ESL One Rio 2020,https://www.hltv.org//stats/matches/mapstatsid/98587/recon-5-vs-oceanus
12th of February 2020,SMASH,AGO,16,9,Europe Minor Open Qualifier 4 - ESL One Rio 2020,https://www.hltv.org//stats/matches/mapstatsid/98585/ago-vs-smash
13th of February 2020,SKADE,TheDabers,16,10,Europe Minor Open Qualifier 4 - ESL One Rio 2020,https://www.hltv.org//stats/matches/mapstatsid/98584/skade-vs-thedabers
12th of February 2020,Copenhagen Flames,Yoink,16,14,Europe Minor Open Qualifier 4 - ESL One Rio 2020,https://www.hltv.org//stats/matches/mapstatsid/98583/yoink-vs-copenhagen-flames
12th of February 2020,Complexity,AVEZ,16,9,Europe Minor Open Qualifier 4 - ESL One Rio 2020,https://www.hltv.org//stats/matches/mapstatsid/98582/complexity-vs-avez
12th of February 2020,HAVU,FATE,16,7,Europe Minor Open Qualifier 4 - ESL One Rio 2020,https://www.hltv.org//stats/matches/mapstatsid/98581/havu-vs-fate
12th of February 2020,Singularity,SJ,16,9,Europe Minor Open Qualifier 4 - ESL One Rio 2020,https://www.hltv.org//stats/matches/mapstatsid/98580/singularity-vs-sj
12th of February 2020,Endpoint,Sinners,3,16,Europe Minor Open Qualifier 4 - ESL One Rio 2020,https://www.hltv.org//stats/matches/mapstatsid/98579/sinners-vs-endpoint
12th of February 2020,Illuminar,PACT,16,14,Europe Minor Open Qualifier 4 - ESL One Rio 2020,https://www.hltv.org//stats/matches/mapstatsid/98578/pact-vs-illuminar
12th of February 2020,RED Canids,Keyd,1,1,CLUTCH Season 2,https://www.hltv.org//stats/matches/72193/red-canids-vs-keyd
12th of February 2020,Revolt,Unique,0,2,WESG 2019 Russia Closed Qualifier,https://www.hltv.org//stats/matches/72192/revolt-vs-unique
12th of February 2020,HellRaisers,Nordavind,16,14,ESEA MDL Season 33 Europe,https://www.hltv.org//stats/matches/mapstatsid/98572/nordavind-vs-hellraisers
12th of February 2020,Spirit,pro100,2,1,WESG 2019 Russia Closed Qualifier,https://www.hltv.org//stats/matches/72190/spirit-vs-pro100
