Date,Team1,Team2,Final Result 1,Final Result 2,Tournament,Player Team,Player,KD,ADR,KAST,Rating,Map,Overall Kills,Overall Deaths,Overal Kill / Death,Overall Kill / Round,Overall Rounds with Kills,Overall Kill - Death Diff,Opening Total Kills,Opening Total Deaths,Opening Kill Ratio,Opening Kill rating,Opening Team win percent after 1st kill,Opening 1st kill in won rounds
24th of April 2020,Gen.G,Triumph,2,1,ESL One: Road to Rio - North America,Triumph,Paytyn 'Junior' Johnson,40-48,-8,60.0,56.7%,All maps,1251,1171,1.07,0.69,860,80,196,158,1.24,1.06,68.4%,15.4%
24th of April 2020,Gen.G,Triumph,2,1,ESL One: Road to Rio - North America,Triumph,Gabe 'Spongey' Greiner,33-47,-14,57.2,65.7%,All maps,7139,6462,1.1,0.69,4903,677,778,655,1.19,0.94,74.9%,10.9%
24th of April 2020,Gen.G,Triumph,2,1,ESL One: Road to Rio - North America,Triumph,Michael 'Grim' Wince,36-55,-19,62.3,64.2%,All maps,9757,9217,1.06,0.73,6333,540,1379,1454,0.95,1.0,73.0%,14.7%
24th of April 2020,Gen.G,Triumph,2,1,ESL One: Road to Rio - North America,Triumph,Alan 'Shakezullah' Hardeman,33-58,-25,63.3,58.2%,All maps,5392,5376,1.0,0.63,3799,16,646,701,0.92,0.91,70.6%,10.1%
24th of April 2020,Isurus,BOOM,0,2,ESL One: Road to Rio - South America,Isurus,Marcos 'decov9jse' Amato,40-35,5,73.7,69.1%,All maps,2204,2039,1.08,0.72,1463,165,268,239,1.12,0.98,75.7%,12.7%
24th of April 2020,Isurus,BOOM,0,2,ESL One: Road to Rio - South America,Isurus,José 'L!nKz^' Ortega,29-36,-7,55.7,65.5%,All maps,3755,3345,1.12,0.72,2537,410,640,429,1.49,1.14,73.0%,17.6%
24th of April 2020,Isurus,BOOM,0,2,ESL One: Road to Rio - South America,Isurus,Nicolás 'Noktse' Dávila,27-40,-13,65.7,56.4%,All maps,9376,8924,1.05,0.68,6384,452,1744,1492,1.17,1.12,75.6%,18.0%
24th of April 2020,Isurus,BOOM,0,2,ESL One: Road to Rio - South America,Isurus,Roberto 'reversive' Themtham,28-40,-12,61.7,60.0%,All maps,7249,7016,1.03,0.68,4962,233,987,915,1.08,0.99,72.5%,13.0%
24th of April 2020,Isurus,BOOM,0,2,ESL One: Road to Rio - South America,Isurus,Gabriel '1962' Sinopoli,27-45,-18,62.2,58.2%,All maps,7729,7595,1.02,0.71,5105,134,1242,1264,0.98,1.04,74.3%,16.1%
24th of April 2020,Isurus,BOOM,0,2,ESL One: Road to Rio - South America,BOOM,Marcelo 'chelo' Cespedes,46-28,18,89.8,76.4%,All maps,11173,10456,1.07,0.71,7441,717,1631,1569,1.04,1.02,74.7%,14.7%
24th of April 2020,Isurus,BOOM,0,2,ESL One: Road to Rio - South America,BOOM,Gustavo 'yel' Knittel,39-27,12,76.3,78.2%,All maps,13135,12328,1.07,0.68,9016,807,2383,1952,1.22,1.12,71.7%,17.7%
24th of April 2020,Isurus,BOOM,0,2,ESL One: Road to Rio - South America,BOOM,Ricardo 'boltz' Prass,32-25,7,70.1,80.0%,All maps,18850,16925,1.11,0.72,12705,1925,2308,2064,1.12,0.97,78.2%,12.7%
24th of April 2020,Isurus,BOOM,0,2,ESL One: Road to Rio - South America,BOOM,João 'felps' Vasconcellos,41-35,6,81.1,60.0%,All maps,14702,13706,1.07,0.76,9741,996,2478,2486,1.0,1.09,75.2%,17.4%
24th of April 2020,Isurus,BOOM,0,2,ESL One: Road to Rio - South America,BOOM,Bruno 'shz' Martinelli,38-36,2,67.3,76.4%,All maps,11337,10085,1.12,0.73,7554,1252,1289,1142,1.13,0.96,74.8%,11.7%
24th of April 2020,RED Canids,Imperial,0,2,ESL One: Road to Rio - South America,RED Canids,Lucas 'DeStiNy' Bullo,37-35,2,62.4,72.7%,All maps,13698,13293,1.03,0.72,9129,405,2481,2485,1.0,1.1,72.9%,18.3%
24th of April 2020,RED Canids,Imperial,0,2,ESL One: Road to Rio - South America,RED Canids,Renato 'nak' Nakano,37-36,1,68.8,80.0%,All maps,7351,7902,0.93,0.62,5134,-551,855,1015,0.84,0.88,75.9%,10.7%
24th of April 2020,RED Canids,Imperial,0,2,ESL One: Road to Rio - South America,RED Canids,Lincoln 'fnx' Lau,32-37,-5,80.1,67.3%,All maps,10189,9291,1.1,0.72,6944,898,1450,1348,1.08,1.02,75.2%,14.0%
24th of April 2020,RED Canids,Imperial,0,2,ESL One: Road to Rio - South America,RED Canids,Gabriel 'nython' Lino,31-33,-2,65.1,65.5%,All maps,2732,2464,1.11,0.75,1852,268,487,402,1.21,1.15,72.5%,19.0%
24th of April 2020,RED Canids,Imperial,0,2,ESL One: Road to Rio - South America,RED Canids,Bruno 'latto' Rebelatto,31-39,-8,66.2,61.8%,All maps,1567,1317,1.19,0.75,1047,250,197,158,1.25,1.01,68.5%,12.5%
24th of April 2020,RED Canids,Imperial,0,2,ESL One: Road to Rio - South America,Imperial,Caio 'zqkS' Fonseca,39-32,7,74.1,76.4%,All maps,10258,9702,1.06,0.66,7140,556,1895,1413,1.34,1.13,75.0%,18.1%
24th of April 2020,RED Canids,Imperial,0,2,ESL One: Road to Rio - South America,Imperial,Dener 'KHTEX' Barchfield,38-33,5,77.4,74.5%,All maps,6929,6024,1.15,0.74,4645,905,986,829,1.19,1.05,74.9%,14.7%
24th of April 2020,RED Canids,Imperial,0,2,ESL One: Road to Rio - South America,Imperial,Denis 'dzt' Fischer,33-37,-4,75.8,67.3%,All maps,9613,9401,1.02,0.7,6517,212,1687,1643,1.03,1.08,75.0%,17.4%
24th of April 2020,RED Canids,Imperial,0,2,ESL One: Road to Rio - South America,Imperial,Felipe 'delboNi' Delboni,38-32,6,61.5,70.9%,All maps,5159,4873,1.06,0.7,3496,286,593,545,1.09,0.95,76.6%,12.2%
24th of April 2020,RED Canids,Imperial,0,2,ESL One: Road to Rio - South America,Imperial,Gustavo 'SHOOWTiME' Gonçalves,31-35,-4,70.9,63.6%,All maps,14409,14514,0.99,0.68,9831,-105,2234,2077,1.08,1.03,72.6%,14.9%
24th of April 2020,Dignitas,NiP,0,2,ESL One: Road to Rio - Europe,Dignitas,Håkon 'hallzerk' Fjærli,28-33,-5,71.5,64.4%,All maps,6522,5665,1.15,0.75,4283,857,1159,852,1.36,1.17,73.0%,19.2%
