Date,Team1,Team2,Final Result 1,Final Result 2,Tournament,Player Team,Player,KD,ADR,KAST,Rating,Map,Overall Kills,Overall Deaths,Overal Kill / Death,Overall Kill / Round,Overall Rounds with Kills,Overall Kill - Death Diff,Opening Total Kills,Opening Total Deaths,Opening Kill Ratio,Opening Kill rating,Opening Team win percent after 1st kill,Opening 1st kill in won rounds
24th of February 2020,NiP,Vitality,0,2,IEM Katowice 2020,NiP,Fredrik 'REZ' Sterner,25-39,-14,57.7,64.8%,All maps,16779,15840,1.06,0.7,11332,939,2571,2541,1.01,1.03,73.6%,15.3%
24th of February 2020,NiP,Vitality,0,2,IEM Katowice 2020,Vitality,Alex 'ALEX' McMeekin,51-33,18,102.2,68.5%,All maps,17578,17678,0.99,0.7,11710,-100,2659,3166,0.84,0.99,73.0%,15.0%
24th of February 2020,NiP,Vitality,0,2,IEM Katowice 2020,Vitality,Mathieu 'ZywOo' Herbaut,45-34,11,91.6,70.4%,All maps,12784,9135,1.4,0.87,7919,3649,2396,1508,1.59,1.31,72.8%,22.3%
24th of February 2020,NiP,Vitality,0,2,IEM Katowice 2020,Vitality,Richard 'shox' Papillon,36-31,5,65.0,70.4%,All maps,31062,27456,1.13,0.75,20526,3606,4880,4332,1.13,1.08,74.4%,16.5%
24th of February 2020,NiP,Vitality,0,2,IEM Katowice 2020,Vitality,Cédric 'RpK' Guipouy,35-36,-1,68.0,77.8%,All maps,21352,21871,0.98,0.67,14496,-519,2686,2818,0.95,0.94,72.9%,11.9%
24th of February 2020,NiP,Vitality,0,2,IEM Katowice 2020,Vitality,Dan 'apEX' Madesclaire,28-37,-9,66.6,64.8%,All maps,29577,28301,1.05,0.73,19619,1276,5008,5155,0.97,1.08,75.4%,17.5%
24th of February 2020,Astralis,Cloud9,2,0,IEM Katowice 2020,Astralis,Nicolai 'device' Reedtz,50-24,26,88.3,82.4%,All maps,29132,23170,1.26,0.78,18971,5962,4919,3561,1.38,1.17,79.3%,18.8%
24th of February 2020,Astralis,Cloud9,2,0,IEM Katowice 2020,Astralis,Andreas 'Xyp9x' Højsleth,49-24,25,95.6,84.3%,All maps,27785,25212,1.1,0.67,18942,2573,3067,2801,1.09,0.92,78.0%,10.4%
24th of February 2020,Astralis,Cloud9,2,0,IEM Katowice 2020,Astralis,Emil 'Magisk' Reif,34-31,3,83.0,74.5%,All maps,19583,16609,1.18,0.74,12987,2974,2696,2331,1.16,1.03,76.0%,14.0%
24th of February 2020,Astralis,Cloud9,2,0,IEM Katowice 2020,Astralis,Lukas 'gla1ve' Rossander,31-27,4,68.6,82.4%,All maps,22431,21623,1.04,0.68,15256,808,3407,3389,1.01,1.01,75.9%,14.2%
24th of February 2020,Astralis,Cloud9,2,0,IEM Katowice 2020,Astralis,Peter 'dupreeh' Rasmussen,33-34,-1,78.2,80.4%,All maps,29464,25661,1.15,0.74,19601,3803,4808,4108,1.17,1.1,76.0%,16.5%
24th of February 2020,Astralis,Cloud9,2,0,IEM Katowice 2020,Cloud9,Ricky 'floppy' Kemery,33-41,-8,75.5,56.9%,All maps,8988,7728,1.16,0.77,5879,1260,1178,995,1.18,1.03,75.8%,14.3%
24th of February 2020,Astralis,Cloud9,2,0,IEM Katowice 2020,Cloud9,Ian 'motm' Hardy,28-37,-9,58.8,62.7%,All maps,9128,8282,1.1,0.74,6067,846,1383,1287,1.07,1.05,76.1%,16.3%
24th of February 2020,Astralis,Cloud9,2,0,IEM Katowice 2020,Cloud9,Aran 'Sonic' Groesbeek,25-38,-13,55.5,70.6%,All maps,10699,8794,1.22,0.77,7037,1905,1621,1143,1.42,1.11,72.9%,15.8%
24th of February 2020,Astralis,Cloud9,2,0,IEM Katowice 2020,Cloud9,Josh 'oSee' Ohm,30-41,-11,52.4,64.7%,All maps,10206,9377,1.09,0.7,6937,829,1651,1342,1.23,1.08,75.1%,16.0%
24th of February 2020,Astralis,Cloud9,2,0,IEM Katowice 2020,Cloud9,Johnny 'JT' Theodosiou,24-40,-16,57.2,54.9%,All maps,9115,9074,1.0,0.67,6155,41,1303,1375,0.95,0.98,75.0%,13.6%
24th of February 2020,ORDER,AVANT,1,16,ESEA MDL Season 33 Australia,ORDER,Jireh 'J1rah' Youakim,10-16,-6,68.1,52.9%,All maps,6715,6620,1.01,0.69,4559,95,1076,1136,0.95,1.02,74.3%,16.1%
24th of February 2020,ORDER,AVANT,1,16,ESEA MDL Season 33 Australia,ORDER,Matthew 'Valiance' Hartrick,7-16,-9,49.9,47.1%,All maps,4366,3999,1.09,0.71,2882,367,526,462,1.14,0.97,72.6%,12.2%
24th of February 2020,ORDER,AVANT,1,16,ESEA MDL Season 33 Australia,ORDER,Karlo 'USTILO' Pivac,6-17,-11,45.3,41.2%,All maps,13341,13311,1.0,0.7,8875,30,2176,2512,0.87,1.02,75.6%,16.4%
24th of February 2020,ORDER,AVANT,1,16,ESEA MDL Season 33 Australia,ORDER,Ricardo 'Rickeh' Mulholland,4-16,-12,34.9,41.2%,All maps,10695,9721,1.1,0.7,7261,974,1820,1492,1.22,1.1,72.5%,16.8%
24th of February 2020,ORDER,AVANT,1,16,ESEA MDL Season 33 Australia,ORDER,Alistair 'aliStair' Johnston,2-16,-14,22.2,35.3%,All maps,12994,11387,1.14,0.72,8763,1607,2391,1908,1.25,1.15,78.5%,18.5%
24th of February 2020,ORDER,AVANT,1,16,ESEA MDL Season 33 Australia,AVANT,Mike 'ap0c' Aliferis,21-6,15,131.3,88.2%,All maps,9846,9640,1.02,0.71,6625,206,1428,1528,0.93,1.0,73.9%,14.5%
24th of February 2020,ORDER,AVANT,1,16,ESEA MDL Season 33 Australia,AVANT,Euan 'sterling' Moore,19-3,16,109.4,94.1%,All maps,8268,6380,1.3,0.77,5553,1888,1144,644,1.78,1.1,75.8%,15.3%
